
@RELATION agua-with-CAT-InspVis

@ATTRIBUTE TRANS REAL
@ATTRIBUTE OD REAL
@ATTRIBUTE PH REAL
@ATTRIBUTE DQO REAL
@ATTRIBUTE FeTotal REAL
@ATTRIBUTE NH4 REAL
@ATTRIBUTE NO3 REAL
@ATTRIBUTE PO4 REAL
@ATTRIBUTE PTOTAL REAL
@ATTRIBUTE STS REAL
@ATTRIBUTE CHLOROPHYLL REAL
@ATTRIBUTE TURB REAL
@ATTRIBUTE CYCLE {filling, full, emptying, dry}

@DATA
3.3,4.39,7.11,4.39,0.39,40.35,42.61,15.53,20.31,1,2.38,1.73,filling
3,4.39,6.78,6.4,0.3,48.24,14.33,10.37,13.14,1,4.52,1.33,emptying
3.1,4.4,6.86,3.16,0.23,27.34,4,1.63,5.44,1.8,16.9,2.71,filling
2,4.4,6.64,7.51,0.63,10.77,28.8,11.03,22.74,0.8,4.28,2.31,filling
2,4.41,7.2,3.49,0.43,101.69,33.14,0.53,13.63,3,8.57,26.2,filling
2.8,4.41,6.66,5.68,0.54,30.94,47.62,10.7,10.77,1.4,2.38,1.28,filling
2.5,4.41,7.05,3.23,0.48,77.28,15.05,58.07,46.92,2.4,6.64,15.87,emptying
2.6,4.42,6.74,5.8,0.82,166.33,11.12,19.07,21.56,1.4,6.19,2.98,filling
3.2,4.44,7.57,1.76,0.42,14.02,9.75,0.93,14.82,1.6,6.66,5.4,emptying
3.7,4.44,6.85,6.89,0.73,14.99,15.48,8.76,11.27,0.6,2.14,1.09,emptying
2.6,4.44,6.77,6.14,0.87,17.98,44.86,26.47,31.22,0.8,0.71,2.45,full
3,4.45,7.18,5.57,0.29,15.13,4.43,3.02,12.8,4.4,5.95,1.09,full
1.8,4.47,7.23,4.81,0.52,82.45,92.35,2.97,15.32,2.6,7.5,8.53,dry
2.5,4.47,7.06,8.16,0.52,72.84,60.17,1.28,9.09,1.4,4.28,13.19,emptying
2.5,4.47,7.11,7.48,0.45,59.1,41.84,17.78,24.05,2.2,4.58,2.87,dry
2.5,4.48,7.1,7.68,0.25,63.46,7.97,1.55,4.11,3.2,3.57,2.01,emptying
2.6,4.48,6.8,6.4,0.31,59.85,4.68,13.59,18.03,6.2,10.38,2.32,filling
2.5,4.48,6.78,8.89,0.51,41.34,2.18,19.39,30.59,1.8,9.28,2.31,full
